age_sex_grp,lifestage,sex,age_lower_yrs,age_upper_yrs,vitA,retinol,vitC,vitE,thiamin,riboflavin,niacin,vitB6,folate,vitB12,calcium,copper,iron,magnesium,phosphorus,selenium,zinc,sodium
1,Infant,all,0,0.499,.,600,.,.,.,.,.,.,.,.,1000,.,40,.,.,45,4,.
2,Infant,all,0.5,1,.,600,.,.,.,.,.,.,.,.,1500,.,40,.,.,60,5,.
3,Child,all,1,2,.,600,400,200,.,.,10,30,300,.,2500,1,40,65,3000,90,7,1200
4,Child,Male,3,3,.,600,400,200,.,.,10,30,300,.,2500,1,40,65,3000,90,7,1200
5,Child,Female,3,3,.,600,400,200,.,.,10,30,300,.,2500,1,40,65,3000,90,7,1200
6,Child,Male,4,8,.,900,650,300,.,.,15,40,400,.,2500,3,40,110,3000,150,12,1500
7,Child,Female,4,8,.,900,650,300,.,.,15,40,400,.,2500,3,40,110,3000,150,12,1500
8,Adolescent,Male,9,13,.,1700,1200,600,.,.,20,60,600,.,3000,4,40,350,4000,280,23,1800
9,Adolescent,Male,14,18,.,2800,1800,800,.,.,30,80,800,.,3000,8,45,350,4000,400,34,2300
10,Adult,Male,19,30,.,3000,2000,1000,.,.,35,100,1000,.,2500,10,45,350,4000,400,40,2300
11,Adult,Male,31,50,.,3000,2000,1000,.,.,35,100,1000,.,2500,10,45,350,4000,400,40,2300
12,Adult,Male,51,69,.,3000,2000,1000,.,.,35,100,1000,.,2000,10,45,350,4000,400,40,2300
13,Older Adult,Male,70,.,.,3000,2000,1000,.,.,35,100,1000,.,2000,10,45,350,3000,400,40,2300
14,Adolescent,Female,9,13,.,1700,1200,600,.,.,20,60,600,.,3000,5,40,350,4000,280,23,1800
15,Adolescent,Female,14,18,.,2800,1800,800,.,.,30,80,800,.,3000,8,45,350,4000,400,34,2300
16,Adult,Female,19,30,.,3000,2000,1000,.,.,35,100,1000,.,2500,10,45,350,4000,400,40,2300
17,Adult,Female,31,50,.,3000,2000,1000,.,.,35,100,1000,.,2500,10,45,350,4000,400,40,2300
18,Adult,Female,51,69,.,3000,2000,1000,.,.,35,100,1000,.,2000,10,45,350,4000,400,40,2300
19,Older Adult,Female,70,.,.,3000,2000,1000,.,.,35,100,1000,.,2000,10,45,350,3000,400,40,2300
20,Pregnancy,Female,14,18,.,2800,1800,800,.,.,30,80,800,.,3000,8,45,350,3500,400,34,2300
21,Pregnancy,Female,19,30,.,3000,2000,1000,.,.,35,100,1000,.,2500,10,45,350,3500,400,40,2300
22,Pregnancy,Female,31,50,.,3000,2000,1000,.,.,35,100,1000,.,2500,10,45,350,3500,400,40,2300
23,Lactation,Female,14,18,.,2800,1800,800,.,.,30,80,800,.,3000,8,45,350,4000,400,34,2300
24,Lactation,Female,19,30,.,3000,2000,1000,.,.,35,100,1000,.,2500,10,45,350,4000,400,40,2300
25,Lactation,Female,31,50,.,3000,2000,1000,.,.,35,100,1000,.,2500,10,45,350,4000,400,40,2300
