age_sex_grp,p_inadequacy,nutr_no,intake_lower,intake_upper,oralcontraceptive_nonusers,oralcontraceptive_mixedpop
2,1,18,,3.01,.,.
2,0.96,18,3.02,3.63,.,.
2,0.93,18,3.64,4.35,.,.
2,0.85,18,4.36,5.23,.,.
2,0.75,18,5.24,5.87,.,.
2,0.65,18,5.88,6.39,.,.
2,0.55,18,6.4,6.9,.,.
2,0.45,18,6.91,7.41,.,.
2,0.35,18,7.42,7.93,.,.
2,0.25,18,7.94,8.57,.,.
2,0.15,18,8.58,9.44,.,.
2,0.08,18,9.45,10.17,.,.
2,0.04,18,10.18,10.78,.,.
2,0,18,10.78,,.,.
3,1,18,,1,.,.
3,0.96,18,1.1,1.24,.,.
3,0.93,18,1.25,1.54,.,.
3,0.85,18,1.55,1.96,.,.
3,0.75,18,1.97,2.32,.,.
3,0.65,18,2.33,2.66,.,.
3,0.55,18,2.67,3.01,.,.
3,0.45,18,3.02,3.39,.,.
3,0.35,18,3.4,3.82,.,.
3,0.25,18,3.83,4.38,.,.
3,0.15,18,4.39,5.25,.,.
3,0.08,18,5.26,6.06,.,.
3,0.04,18,6.07,6.81,.,.
3,0,18,6.81,,.,.
4,1,18,,1,.,.
4,0.96,18,1.1,1.24,.,.
4,0.93,18,1.25,1.54,.,.
4,0.85,18,1.55,1.96,.,.
4,0.75,18,1.97,2.32,.,.
4,0.65,18,2.33,2.66,.,.
4,0.55,18,2.67,3.01,.,.
4,0.45,18,3.02,3.39,.,.
4,0.35,18,3.4,3.82,.,.
4,0.25,18,3.83,4.38,.,.
4,0.15,18,4.39,5.25,.,.
4,0.08,18,5.26,6.06,.,.
4,0.04,18,6.07,6.81,.,.
4,0,18,6.81,,.,.
5,1,18,,1,.,.
5,0.96,18,1.1,1.24,.,.
5,0.93,18,1.25,1.54,.,.
5,0.85,18,1.55,1.96,.,.
5,0.75,18,1.97,2.32,.,.
5,0.65,18,2.33,2.66,.,.
5,0.55,18,2.67,3.01,.,.
5,0.45,18,3.02,3.39,.,.
5,0.35,18,3.4,3.82,.,.
5,0.25,18,3.83,4.38,.,.
5,0.15,18,4.39,5.25,.,.
5,0.08,18,5.26,6.06,.,.
5,0.04,18,6.07,6.81,.,.
5,0,18,6.81,,.,.
6,1,18,,1.33,.,.
6,0.96,18,1.34,1.64,.,.
6,0.93,18,1.65,2.05,.,.
6,0.85,18,2.07,2.63,.,.
6,0.75,18,2.64,3.13,.,.
6,0.65,18,3.14,3.62,.,.
6,0.55,18,3.63,4.11,.,.
6,0.45,18,4.12,4.64,.,.
6,0.35,18,4.65,5.27,.,.
6,0.25,18,5.28,6.08,.,.
6,0.15,18,6.09,7.31,.,.
6,0.08,18,7.32,8.45,.,.
6,0.04,18,8.46,9.52,.,.
6,0,18,9.52,,.,.
7,1,18,,1.33,.,.
7,0.96,18,1.34,1.64,.,.
7,0.93,18,1.65,2.05,.,.
7,0.85,18,2.07,2.63,.,.
7,0.75,18,2.64,3.13,.,.
7,0.65,18,3.14,3.62,.,.
7,0.55,18,3.63,4.11,.,.
7,0.45,18,4.12,4.64,.,.
7,0.35,18,4.65,5.27,.,.
7,0.25,18,5.28,6.08,.,.
7,0.15,18,6.09,7.31,.,.
7,0.08,18,7.32,8.45,.,.
7,0.04,18,8.46,9.52,.,.
7,0,18,9.52,,.,.
8,1,18,,3.91,.,.
8,0.96,18,3.91,4.23,.,.
8,0.93,18,4.24,4.59,.,.
8,0.85,18,4.6,5.03,.,.
8,0.75,18,5.04,5.36,.,.
8,0.65,18,5.37,5.64,.,.
8,0.55,18,5.65,5.89,.,.
8,0.45,18,5.9,6.15,.,.
8,0.35,18,6.16,6.43,.,.
8,0.25,18,6.44,6.76,.,.
8,0.15,18,6.77,7.21,.,.
8,0.08,18,7.22,7.58,.,.
8,0.04,18,7.59,7.91,.,.
8,0,18,7.91,,.,.
14,1,18,,3.24,.,.
14,0.96,18,3.24,3.6,.,.
14,0.93,18,3.61,4.04,.,.
14,0.85,18,4.05,4.59,.,.
14,0.75,18,4.6,4.98,.,.
14,0.65,18,4.99,5.33,.,.
14,0.55,18,5.34,5.66,.,.
14,0.45,18,5.67,6,.,.
14,0.35,18,6.01,6.36,.,.
14,0.25,18,6.37,6.78,.,.
14,0.15,18,6.79,7.38,.,.
14,0.08,18,7.39,7.88,.,.
14,0.04,18,7.89,8.34,.,.
14,0,18,8.34,,.,.
9,1,18,,5.06,.,.
9,0.96,18,5.06,5.42,.,.
9,0.93,18,5.43,5.85,.,.
9,0.85,18,5.86,6.43,.,.
9,0.75,18,6.44,6.89,.,.
9,0.65,18,6.9,7.29,.,.
9,0.55,18,7.3,7.69,.,.
9,0.45,18,7.7,8.08,.,.
9,0.35,18,8.09,8.51,.,.
9,0.25,18,8.52,9.03,.,.
9,0.15,18,9.04,9.74,.,.
9,0.08,18,9.75,10.32,.,.
9,0.04,18,10.33,10.83,.,.
9,0,18,10.83,,.,.
15,1,18,,4.63,1,0
15,0.96,18,4.64,5.06,1,0
15,0.93,18,5.07,5.61,1,0
15,0.85,18,5.62,6.31,1,0
15,0.75,18,6.32,6.87,1,0
15,0.65,18,6.88,7.39,1,0
15,0.55,18,7.4,7.91,1,0
15,0.45,18,7.92,8.48,1,0
15,0.35,18,8.49,9.15,1,0
15,0.25,18,9.16,10.03,1,0
15,0.15,18,10.4,11.54,1,0
15,0.08,18,11.54,13.08,1,0
15,0.04,18,13.9,14.8,1,0
15,0,18,14.8,,1,0
10,1,18,3.98,,.,.
10,0.96,18,3.98,4.29,.,.
10,0.93,18,4.3,4.64,.,.
10,0.85,18,4.65,5.09,.,.
10,0.75,18,5.1,5.44,.,.
10,0.65,18,5.45,5.74,.,.
10,0.55,18,5.75,6.03,.,.
10,0.45,18,6.04,6.32,.,.
10,0.35,18,6.33,6.65,.,.
10,0.25,18,6.66,7.04,.,.
10,0.15,18,7.05,7.69,.,.
10,0.08,18,7.7,8.06,.,.
10,0.04,18,8.07,8.49,.,.
10,0,18,8.49,,.,.
11,1,18,,3.98,.,.
11,0.96,18,3.98,4.29,.,.
11,0.93,18,4.3,4.64,.,.
11,0.85,18,4.65,5.09,.,.
11,0.75,18,5.1,5.44,.,.
11,0.65,18,5.45,5.74,.,.
11,0.55,18,5.75,6.03,.,.
11,0.45,18,6.04,6.32,.,.
11,0.35,18,6.33,6.65,.,.
11,0.25,18,6.66,7.04,.,.
11,0.15,18,7.05,7.69,.,.
11,0.08,18,7.7,8.06,.,.
11,0.04,18,8.07,8.49,.,.
11,0,18,8.49,,.,.
12,1,18,,3.98,.,.
12,0.96,18,3.98,4.29,.,.
12,0.93,18,4.3,4.64,.,.
12,0.85,18,4.65,5.09,.,.
12,0.75,18,5.1,5.44,.,.
12,0.65,18,5.45,5.74,.,.
12,0.55,18,5.75,6.03,.,.
12,0.45,18,6.04,6.32,.,.
12,0.35,18,6.33,6.65,.,.
12,0.25,18,6.66,7.04,.,.
12,0.15,18,7.05,7.69,.,.
12,0.08,18,7.7,8.06,.,.
12,0.04,18,8.07,8.49,.,.
12,0,18,8.49,,.,.
13,1,18,,3.98,.,.
13,0.96,18,3.98,4.29,.,.
13,0.93,18,4.3,4.64,.,.
13,0.85,18,4.65,5.09,.,.
13,0.75,18,5.1,5.44,.,.
13,0.65,18,5.45,5.74,.,.
13,0.55,18,5.75,6.03,.,.
13,0.45,18,6.04,6.32,.,.
13,0.35,18,6.33,6.65,.,.
13,0.25,18,6.66,7.04,.,.
13,0.15,18,7.05,7.69,.,.
13,0.08,18,7.7,8.06,.,.
13,0.04,18,8.07,8.49,.,.
13,0,18,8.49,,.,.
15,1,18,,4.18,0,1
15,0.96,18,4.18,4.63,0,1
15,0.93,18,4.64,5.19,0,1
15,0.85,18,5.2,5.94,0,1
