year,month,total_months,median_weight_boys,median_weight_girls,median_height_boys,median_height_girls
0,0,0,3.3,3.2,49.9,49.1
0,1,1,4.5,4.2,54.7,53.7
0,2,2,5.6,5.1,58.4,57.1
0,3,3,`,5.80,61.40,59.80
0,4,4,7.00,6.40,63.90,62.10
0,5,5,7.50,6.90,65.90,64.00
0,6,6,7.90,7.30,67.60,65.70
0,7,7,8.30,7.60,69.20,67.30
0,8,8,8.60,7.90,70.60,68.70
0,9,9,8.90,8.20,72.00,70.10
0,10,10,9.20,8.50,73.30,71.50
0,11,11,9.40,8.70,74.50,72.80
1,0,12,9.60,8.90,75.70,74.00
1,1,13,9.90,9.20,76.90,75.20
1,2,14,10.10,9.40,78.00,76.40
1,3,15,10.30,9.60,79.10,77.50
1,4,16,10.50,9.80,80.20,78.60
1,5,17,10.70,10.00,81.20,79.70
1,6,18,10.90,10.20,82.30,80.70
1,7,19,11.10,10.40,83.20,81.70
1,8,20,11.30,10.60,84.20,82.70
1,9,21,11.50,10.90,85.10,83.70
1,10,22,11.80,11.10,86.00,84.60
1,11,23,12.00,11.30,86.90,85.50
2,0,24,12.20,11.50,87.80,86.40
2,1,25,12.40,11.70,88.00,86.60
2,2,26,12.50,11.90,88.80,87.40
2,3,27,12.70,12.10,89.60,88.30
2,4,28,12.90,12.30,90.40,89.10
2,5,29,13.10,12.50,91.20,89.90
2,6,30,13.30,12.70,91.90,90.70
2,7,31,13.50,12.90,92.70,91.40
2,8,32,13.70,13.10,93.40,92.20
2,9,33,13.80,13.30,94.10,92.90
2,10,34,14.00,13.50,94.80,93.60
2,11,35,14.20,13.70,95.40,94.40
3,0,36,14.30,13.90,96.10,95.10
3,1,37,14.50,14.00,96.70,95.70
3,2,38,14.70,14.20,97.40,96.40
3,3,39,14.80,14.40,98.00,97.10
3,4,40,15.00,14.60,98.60,97.70
3,5,41,15.20,14.80,99.20,98.40
3,6,42,15.30,15.00,99.90,99.00
3,7,43,15.50,15.20,100.40,99.70
3,8,44,15.70,15.30,101.00,100.30
3,9,45,15.80,15.50,101.60,100.90
3,10,46,16.00,15.70,102.20,101.50
3,11,47,16.20,15.90,102.80,102.10
4,0,48,16.30,16.10,103.30,102.70
4,1,49,16.50,16.30,103.90,103.30
4,2,50,16.70,16.40,104.40,103.90
4,3,51,16.80,16.60,105.00,104.50
4,4,52,17.00,16.80,105.60,105.00
4,5,53,17.20,17.00,106.10,105.60
4,6,54,17.30,17.20,106.70,106.20
4,7,55,17.50,17.30,107.20,106.70
4,8,56,17.70,17.50,107.80,107.30
4,9,57,17.80,17.70,108.30,107.80
4,10,58,18.00,17.90,108.90,108.40
4,11,59,18.20,18.00,109.40,108.90
5,0,60,18.30,18.20,110.00,109.40
5,1,61,20.30,20.30,110.27,109.60
5,2,62,20.50,20.50,110.80,110.13
5,3,63,20.70,20.81,111.33,110.65
5,4,64,20.90,21.01,111.86,111.16
5,5,65,21.09,21.20,112.39,111.67
