age_sex_grp,sex,age_lower_yrs,age_upper_yrs,who_protein,protein_perkg,refweight_kg
1,all,0,0.499,5.6,1,5.60
2,all,0.5,1,8.4,1,8.40
3,all,1,2,10.2225,0.87,11.75
4,Male,3,3,13.2675,0.87,15.25
5,Female,3,3,12.963,0.87,14.90
6,Male,4,8,18.07522983,0.76,23.78
7,Female,4,8,18.1215584,0.76,23.84
8,Male,9,13,31.64049986,0.76,41.63
9,Male,14,18,53.12194318,0.73,72.77
10,Male,19,30,52.66049116,0.66,79.79
11,Male,31,50,44.07641969,0.66,66.78
12,Male,51,69,44.07641969,0.66,66.78
13,Male,70,.,44.07641969,0.66,66.78
14,Female,9,13,33.92221822,0.76,44.63
15,Female,14,18,45.95426399,0.71,64.72
16,Female,19,30,44.0979532,0.66,66.82
17,Female,31,50,37.64489415,0.66,57.04
18,Female,51,69,37.64489415,0.66,57.04
19,Female,70,.,37.64489415,0.66,57.04
20,Female,14,18,68.61739763,0.88,77.97
21,Female,19,30,70.45727093,0.88,80.07
22,Female,31,50,61.8531922,0.88,70.29
23,Female,14,18,59.88960433,1.05,57.04
24,Female,19,30,59.88960433,1.05,57.04
25,Female,31,50,59.88960433,1.05,57.04
