H_age_sex_grp,lifestage,sex,age_lower_yrs,age_upper_yrs,protein,vitA,vitC,vitE,thiamin,riboflavin,niacin,vitB6,folate,vitB12,calcium,copper,iron_1,iron_2,iron_3,magnesium,phosphorus,selenium,zinc_1,zinc_2,zinc_3,zinc_4
1,Infant,all,0.5,1,1.12,190,.,.,.,.,.,.,.,.,.,.,.,8,16,.,.,.,.,.,2.4,.
2,Child,all,1,2,0.79,205,15,5,0.4,0.5,5,0.5,90,0.7,390,260,.,5,10,65,380,17,.,.,3.6,.
3,Child,Male,3,3,0.79,205,15,5,0.4,0.5,5,0.5,90,0.7,390,260,.,5,10,65,380,17,.,.,3.6,.
4,Child,Female,3,3,0.79,205,15,5,0.4,0.5,5,0.5,90,0.7,390,260,.,5,10,65,380,17,.,.,3.6,.
5,Child,Male,4,6,0.69,245,25,6,0.5,0.6,6,0.6,110,1,680,340,.,5,10,110,405,23,.,.,4.6,.
6,Child,Female,4,6,0.69,245,25,6,0.5,0.6,6,0.6,110,1,680,340,.,5,10,110,405,23,.,.,4.6,.
7,Child,Male,7,10,0.75,320,40,6,0.5,0.8,6,0.9,160,1,680,340,.,8,16,110,405,23,.,.,6.2,.
8,Child,Female,7,10,0.75,320,40,6,0.5,0.8,6,0.9,160,1,680,340,.,8,16,110,405,23,.,.,6.2,.
9,Adolescent,Male,11,14,0.73,480,60,9,0.7,1.1,9,1.2,210,1.5,960,540,8,12.8,25.6,200,1055,35,.,.,8.9,.
10,Adolescent,Male,15,17,0.71,580,85,12,1,1.4,12,1.5,250,2,960,685,8,12.8,25.6,340,1055,45,.,.,11.8,.
11,Adult,Male,18,24,0.66,570,90,12,1,1.3,12,1.5,250,2,860,700,6,9.6,19.2,330,580,45,7.5,9.3,11,12.7
12,Adult,Male,25,50,0.66,570,90,12,1,1.3,12,1.5,250,2,750,700,6,9.6,19.2,330,580,45,7.5,9.3,11,12.7
13,Adult,Male,51,70,0.66,570,90,12,1,1.3,12,1.5,250,2,750,700,6,9.6,19.2,330,580,45,7.5,9.3,11,12.7
14,Older Adult,Male,71,.,0.66,570,90,12,1,1.3,12,1.5,250,2,750,700,6,9.6,19.2,330,580,45,7.5,9.3,11,12.7
15,Adolescent,Female,11,14,0.71,480,60,9,0.7,1.1,9,1.2,210,1.5,960,540,7,11.2,22.4,200,1055,35,.,.,8.9,.
16,Adolescent,Female,15,17,0.68,490,75,12,0.9,1.4,11,1.3,250,2,960,685,7,11.2,22.4,300,1055,45,.,.,9.9,.
17,Adult,Female,18,24,0.66,490,80,12,0.9,1.3,11,1.3,250,2,860,700,7,11.2,22.4,255,580,45,6.2,7.6,8.9,10.2
18,Adult,Female,25,50,0.66,490,80,12,0.9,1.3,11,1.3,250,2,750,700,7,11.2,22.4,265,580,45,6.2,7.6,8.9,10.2
19,Adult,Female,51,70,0.66,490,80,12,0.9,1.3,11,1.3,250,2,750,700,6,9.6,19.2,265,580,45,6.2,7.6,8.9,10.2
20,Older Adult,Female,71,.,0.66,490,80,12,0.9,1.3,11,1.3,250,2,750,700,6,9.6,19.2,265,580,45,6.2,7.6,8.9,10.2
21,Pregnancy,Female,.,18,7.2,540,75,12,1.2,1.5,14,1.5,520,2.2,860,785,7,11.2,22.4,335,1055,49,7.5,8.9,10.2,11.5
22,Pregnancy,Female,19,30,7.2,540,80,12,1.2,1.5,14,1.5,520,2.2,860,800,7,11.2,22.4,209,580,49,7.5,8.9,10.2,11.5
23,Pregnancy,Female,31,50,7.2,540,80,12,1.2,1.5,14,1.5,520,2.2,750,800,7,11.2,22.4,300,580,49,7.5,8.9,10.2,11.5
24,Lactation,Female,14,18,12.5,1020,145,16,1.2,1.7,13,1.4,380,2.4,860,985,7,11.2,22.4,300,1055,59,8.6,10,11.3,13.7
25,Lactation,Female,19,30,12.5,1020,145,16,1.2,1.7,13,1.4,380,2.4,860,1000,7,11.2,22.4,255,580,59,8.6,10,11.3,13.7
26,Lactation,Female,31,50,12.5,1020,145,16,1.2,1.7,13,1.4,380,2.4,750,1000,7,11.2,22.4,265,580,59,8.6,10,11.3,13.7
